review,rating,date,user_name
"Andai saja WA bisa seperti BBM pada masanya dahulu. Saat memutar musik di gadget, terlihat aktifitas pada profile BBM apa yang sedang di dengarkan pengguna. Mempermudah antar pengguna mengetahui apakah teman dalam posisi santai (mendengarkan musik) atau mungkin sedang beraktifitas (tidak ada aktifitas pada profile).",5,2025-01-03 17:34:15,Pengguna Google
"Baguss, lumayan aplikasi terus berkembang! Sangat keren, namun saya menyarankan untuk menambahkan fitur dengan tema yang dapat mengubah warna bubble chat sesuai keinginan. Karna menurut saya sekarang para pemakai sedang mengincar warna bubble.. jadi akan lebih banyak yang tertarik dengan fitur ini, semoga tersampaikan dan tercapai! Terimakasih whatsapp🤍",5,2025-01-05 20:58:31,Pengguna Google
Ada fitur musiknya pas mau bikin status bagus kayaknya. Biar gak ngedit di aplikasi lain cuman ngasih tambahan sound nya. Saya pernah dengar ada yang bahas kalau WhatsApp akan ada fitur musik pas mau kirim foto. Emang benar kah?,5,2025-01-03 10:20:25,Pengguna Google
"Tolong dong di kembalikan kyk dulu lagi, lebih nyaman yg dulu, klo yg skrng mau buka story sendiri aja gk bisa, menghapus story jg gk bisa langsung beberapa story dalam sekali penghapusan. Tolong dong dikembalikan WhatsApp seperti yg dulu, klo gini jd mls bgt update status/story. Minimal bisa lihat story sendiri lh. Please!!!!",5,2025-01-04 19:15:51,Pengguna Google
"wa sekarang kenapa ya? kok kalo liat informasi yg sudah baca chat kita, sama buka wa yg di arsip langsung keluar? Mau liat setingan juga tiba² keluar dari wa terus katanya WhatsApp sedang mengalami bug. Segera perbaiki dong, parah banget nih udah dari lama tapi g ada perbaikan",5,2024-12-25 22:05:09,Pengguna Google
"Yh sebener nya buat ak bagus sih cuman ada satu permasalahan nya WhatsApp ini ketika ingin di download memerlukan waktu lama dan berkali kali di install. Juga ada beberapa permasalahan di vn WhatsApp nya, sering ngeleag dan ngebak. Hanya perlu di kembakang kan sedikit lagi. Dan tolong TDK ush di download lagu",5,2024-12-22 18:10:03,Pengguna Google
"Semuanya bagus tp bisa tolong adakan fitur arsip story, dari awal pake wa dulu sampe seterusnya masih bisa aku lihat. Karna ada seseorang yg sangaaaaaaat aku rindukan dan ingin lihat lagi di story ku yg dulu. Bisakah? Tolong ya min di bantu",5,2025-01-03 09:21:17,Pengguna Google
Hallo WhatsApp.. Aplikasi mu sangat Bagus dan simpel dalam chat seseorang. Tapi tolong tambahkan fitur Jadwal pesan donk.. jadi kita Pesan itu di jadwalkan dan otomatis terkirim setelah di jadwalkan..,5,2025-01-07 03:58:40,Pengguna Google
"Fitur bagus, tapi kenapa untuk kirim gambar dan photo, lambat sekali ( fitur filter ) memory hp masih lapang, hp samsung a50 android 11. Saya coba amati tidak semua hp seperti itu. Melihat ulasan yg di posting.. ternyata banyak juga yg mengalami hal seperti diatas, segera di perbaiki. semenjak tgl 20 des sudah normal kembali 👍👍",5,2024-12-21 06:22:58,Pengguna Google
"sejauh ini bagus' aja aplikasinya, tapi bisa ngga ditambahin ""arsip story"" gitu, biar bisa ngeliat sw lama yng udh kehapus, terus juga tambahin fitur ""tema chat default"" di pengaturan tema, biar tampilan nya ga itu' aja warnanya mohon untuk ditambahkan fiturnya ya🙏🏻",5,2025-01-02 14:08:08,Pengguna Google
"Aplikasinya bagus dan bermanfaat kalo mau koneksi sama keluarga atau temen tinggal ngechat, tapi ada bug kalo Voice chat ngeblank item terus suaranya jadi kecil itu kurang nyaman kalo ngirim video/foto juga sama ngeblank item itu ngeggangu banget 🙏",5,2024-12-31 09:52:42,Pengguna Google
"Aplikasinya bagus, sudah banyak fitur yang semakin dipermudahkan👍 Tetapi kekurangan dari aplikasi ini adalah cache permanen setelah mengelola video/foto yang akan dikirim tidak bisa dihapus, kadang suka sampai ber gb gb, tetapi tidak bisa dihapus Dan salah satu caranya adalah harus meng instal ulang aplikasinya",5,2024-12-30 22:50:40,Pengguna Google
Semuanya sudah bagus..kalau bisa untuk update selanjutnya tambahkan fitur terjemahan bahasa di pesan..jadinya kalau punya teman atau pacar dari luar negeri bisa menggunakan fitur itu tidak usah buka google translate lagi..seperti di aplikasi instagram,5,2025-01-08 20:58:40,Pengguna Google
"Fitur AI, banyak membantu dalam berbagai pekerjaan. Namun, menurut saya agak mengganggu. Karena terlalu banyak menu untuk AI kenapa tidak satu saja. Lebih bagusnya diatas saja. Dan menu diatas tulis pesan di hilangkan saja. Terima kasih",5,2024-12-24 19:19:02,Pengguna Google
